Type,Name,Difference,Url1,Url2,Value1,Value2
"View","[incident] My Team Members' Resolved Cases","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=2d5e1400-f86d-df11-986c-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=2d5e1400-f86d-df11-986c-00155d2e3002","l name=""caseorigincode"" width=""100""/><ce","l name=""createdon"" width=""150""/><cell na"
"View","[incident] Active Cases Opened in the Last 7 days","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=429bd987-ac6f-df11-986c-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=429bd987-ac6f-df11-986c-00155d2e3002"," name=""title"" /><attribute name=""ticketn"," name=""ticketnumber"" /><attribute name="""
"View","[incident] Active Cases Opened in the Last 7 days","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=429bd987-ac6f-df11-986c-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=429bd987-ac6f-df11-986c-00155d2e3002","ll name=""caseorigincode"" width=""100""/><c","ll name=""ownerid"" width=""100""/><cell nam"
"View","[incident] My Active Cases Opened in the Last 7 days","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=460f1fad-2673-df11-986c-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=460f1fad-2673-df11-986c-00155d2e3002"," name=""title"" /><attribute name=""ticketn"," name=""ticketnumber"" /><attribute name="""
"View","[incident] My Active Cases Opened in the Last 7 days","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=460f1fad-2673-df11-986c-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=460f1fad-2673-df11-986c-00155d2e3002","ll name=""caseorigincode"" width=""100""/><c","ll name=""ownerid"" width=""100""/><cell nam"
"View","[incident] Cases Resolved By Me in the last 7 days","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=bad2fbea-2673-df11-986c-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=bad2fbea-2673-df11-986c-00155d2e3002"," name=""title"" /><attribute name=""ticketn"," name=""ticketnumber"" /><attribute name="""
"View","[incident] Cases Resolved By Me in the last 7 days","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=bad2fbea-2673-df11-986c-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=bad2fbea-2673-df11-986c-00155d2e3002","ll name=""prioritycode"" width=""150""/><cel","ll name=""ownerid"" width=""100""/><cell nam"
"View","[incident] Cases Resolved in the last 7 days","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=1853caa4-255f-df11-ae90-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=1853caa4-255f-df11-ae90-00155d2e3002"," name=""title"" /><attribute name=""ticketn"," name=""ticketnumber"" /><attribute name="""
"View","[incident] Cases Resolved in the last 7 days","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=1853caa4-255f-df11-ae90-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=1853caa4-255f-df11-ae90-00155d2e3002","ll name=""prioritycode"" width=""150""/><cel","ll name=""ownerid"" width=""100""/><cell nam"
"View","[incident] Cases Opened in the Last 7 days","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=c111f612-1563-df11-ae90-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=c111f612-1563-df11-ae90-00155d2e3002"," name=""title"" /><attribute name=""ticketn"," name=""ticketnumber"" /><attribute name="""
